descricao,ID,update
Boa Tolerancia a Mancha Branca ,51,
Boa Tolerancia a Mancha Branca e Turcicum ,52,
Boa tolerancia ao complexo de enfezamento,53,
Bom empalhamento ,54,
Bom pacote de sanidade (foco em HT) ,55,
Bom perfil agronômico de planta ,56,
Bom potencial produtivo ,57,
Bom potencial produtivo associado a alta estabilidade exclusivamente em ambientes de médio-alto potencial produtivo ,58,
Bom potencial produtivo associado a estabilidade ,59,
Bom potencial produtivo associado a estabilidade nos ambientes de médio e alto rendimento ,60,
Bom potencial produtivo associado a estabilidade nos ambientes de médio-menor potencial ,61,
Bom potencial produtivo com ampla adaptabilidade em ambientes de menor de potencial ,62,
Bom potencial produtivo com ampla adaptabilidade em ambientes de menor potencial ,63,
Bom potencial produtivo com destaque para ambientes de alto potencial ,64,
Bom potencial produtivo desde que associado a manejo adequado ,65,
Bom potencial produtivo em ambientes de alto rendimento ,66,
Bom potencial produtivo em ambientes de potencial médio-alto ,67,
"Bom potencial produtivo, principalmente nos ambientes de baixo-médio potencial ",68,
"Bom potencial produtivo, principalmente nos ambientes de médio potencial ",69,
Bom sistema radicular,70,
Bom vigor em condição de baixa temperatura de solo ,71,
Caracteristicas excelentes para silagem ,72,
Caracteristicas excelentes para silagem com alta conversão alimentar ,73,
Ciclo (Precocidade) ,74,
Ciclo (Superprecocidade) ,75,
Ciclo ajustado para safrinha subtropical,76,
Ciclo precoce ,77,
Ciclo superprecoce ,78,
Competitividade nos ambientes restritivos (menor potencial) ,79,
Demonstra tolerancia as principais doenças foliares  ,80,
Dry down ,81,
Dry down lento ,82,
Drydow acentuado ,83,
Dupla Aptidão (Grãos e Silagem) ,84,
Dupla aptidão (Silagem e Grãos) ,85,
Elevada Tolerancia a grão ardido ,86,
Elevado potencial produtivo ,87,
Elevado potencial produtivo em todos ambientes ,88,
Estabilidade ,89,
Estabilidade associada a manejo ,90,
Estabilidade associado a manejo ,91,
Estabilidade associado a posicionamento ,92,
Estabilidade e adaptabilidade ,93,
Estabilidade produtiva ,94,
Estabilidade produtiva nos ambientes mais restritivos ,95,
Evitar ambientes propicios a grãos ardidos ,96,
Excelente padrão de espiga ,97,
Excelente Porte e arquiterura de plantas ,98,
Excelente qualidade bromatológica,99,
Excelente sanidade (foliar e colmo) ,100,
Excelente sanidade foliar ,101,
Exige monitoramento e controle de cigarrinha ,102,
Flexibilidade para janela de semeadura ,103,
Fusarium Graminearum na espiga ,104,
Grão profundo ,105,
Híbrido apresentou baixa competitividade e perfomance na safrinha da Tropical Highlands ,106,
Híbrido boas caracteristicas para silagem ,107,
Híbrido com boa estabilidade e adaptabilidade destacando ambientes de médio-menor potencial ,108,
Híbrido com bom potencial produtivo ,109,
"Híbrido competitivo e de alto potencial produtivo em todos os ambientes de produção, com performances superiores nos ambientes de médio-alto potencial ",110,
Híbrido de alta performance associado a boa estabilidade ,111,
Híbrido de alta performance com melhores resultados nos ambientes de médio-alto potencial ,112,
Híbrido de alta performance nos ambientes de médio-baixo potencial ,113,
Híbrido de alta performance produtiva principalmente nos ambientes de médio-alto potencial ,114,
Híbrido de alto potencial produtivo associado a estabilidade desde que alocado nos ambientes de médio-alto potencial ,115,
"Híbrido de alto potencial produtivo associado a estabilidade e adaptabilidade em todos os ambientes de produção, com maior responsividade nos ambientes de médio-alto potencial ",116,
Híbrido de alto potencial produtivo associado a estabilidade nos ambientes de médio-alto potencial ,117,
Híbrido de alto potencial produtivo e com boa estabilidade ,118,
Hibrido de ampla adaptabilidade em todos os ambientes de produção ,119,
Híbrido de boa estabilidade ,120,
Hibrido de boa estabilidade com boa sanidade foliar ,121,
"Híbrido de boa estabilidade e adaptabilidade, principalmente nos ambientes de médio-menor potencial ",122,
Híbrido de boa performance e boa estabilidade em ambientes mais restritivos ,123,
Hibrido de boa performance em todos os ambientes de produção ,124,
Híbrido de boa performance satisfatória em ambientes intermediários ,125,
Híbrido de bom potencial e com boa estabilidade nos ambientes de médio-alto potencial ,126,
"Híbrido de bom potencial potencial produtivo nos ambientes de médio-baixo potencial, com maior competitividade nos ambientes mais restritivos e com pressão de complexo de enfezamento (tolerancia moderada) ",127,
Híbrido de bom potencial produtivo associado a boa estabilidade principalmente nos ambientes de médio-alto potencial ,128,
Híbrido de bom potencial produtivo nos ambientes de médio-baixo potencial ,129,
Híbrido de bom potencial produtivo nos ambientes de médio-baixo potencial  ,130,
"Híbrido de bom potencial produtivo, com destaque para os ambientes de menor potencial onde apresenta boa estabilidade ",131,
Híbrido de elevado potencial produtivo associado a boa estabilidade ,132,
Híbrido de elevado potencial produtivo com ampla adaptabilidade e estabilidade em todos os ambientes de produção ,133,
Hibrido de menor estabilidade na safrinha tropical ,134,
Híbrido de performance satisfatória nos ambientes de médio-baixo potencial com boa estabilidade ,135,
"Híbrido demonstrou-se baixa competitividade nos ensaios de MD quando comparado com o portfólio das marcas Dekalb, Agroceres e Agroeste.",136,
Híbrido Superprecoce ,137,
Híbrido superprecoce com alto potencial produtivo associado a boa estabilidade e adaptabilidade em todos os ambientes de produção ,138,
Híbrido superprecoce com bom potencial produtivo pncipalmente nos ambientes mais restritivos ,139,
Híbrido superprecoce com performance superior nos melhores ambientes (alto potencial) ,140,
Híbrido superprecoce de alto potencial produtivo associado a estabilidade principalmente nos ambientes restritivos (histórico de produtividade <9000 kg,141,
Hiperprecoce ,142,
Hiperprecocidade ,143,
Hiperprecocidade associada a boa performance produtiva e estabilidade  ,144,
Inserção de Espiga ,145,
Integridade de colmo  ,146,
Integridade de colmo (baixo risco de tombamento) ,147,
Integridade de colmo e raiz,148,
Intermediário a mancha branca e complexo de enfezamento ,149,
Intermediário para Cercospora,150,
Intermediário para complexo de enfezamento ,151,
Intermediário para complexo de enfezamento e bipolaris ,152,
Intermediário para complexo de enfezamento e mancha branca ,153,
Intermediário para complexo de enfezamento e turcicum ,154,
Intermediário para estria bacteriana e cercospora ,155,
Intermediário para mancha branca e cercospora ,156,
Intermediário para mancha branca e complexo de enfezamento ,157,
Intermediário para mancha-branca ,158,
Intermediário para tombamento,159,
Intermediárioa Complexo de Enfezamento ,160,
"Intermediárioa mancha branca, complexo de enfezamento e complexo de enfezamento ",161,
"Intermediárioa Polysora, HT e complexo de enfezamento",162,
Intermediáriopara mancha branca e cercospora ,163,
Melhor estabilidade nos ambientes mais restritivos ,164,
Moderada competitividade ,165,
Moderada tolerancia a complexo de enfezamento,166,
Moderada tolerancia a HT ,167,
Moderada tolerancia para complexo de enfezamento,168,
Moderadamante sucetível a HT ,169,
Moderadamente suscetivel a cercospora e corn stunt ,170,
Moderadamente suscetível a complexo de enfezamento,171,
Moderadamente Suscetível a Corn Stunt ,172,
Moderadamente tolerante a complexo de enfezamento,173,
Moderadamente tolerante a complexo de enfezamento e tolerante a mancha branca ,174,
Moderadamente Tolerante a HT e Diplodia,175,
Moderadamente tolerante ao complexo de enfezamento,176,
Moderadamente tolerante para complexo de enfezamento,177,
Morte prematura ,178,
Morte prematura por Fusarium ,179,
Não deve ser semeado em áreas compactadas ,180,
Ótimo vigor ,181,
"Para safrinha subtropical, maior competitividade e performance nos ambientes mais restritivos",182,
"Para safrinha tropical, maior competitividade e performance nos ambientes mais restritivos",183,
Perfil defensivo para a região sul ,184,
Pontos de Atenção,185,
Pontos Fortes,186,
Porte de planta e inserção de espiga,187,
Potencial Produtivo ,188,
Potencial produtivo associado a estabilidade em todos os ambientes de produção ,189,
"Potencial produtivo associado a estabilidade em todos os ambientes de produção, principalmente nos ambientes de médio-alto potencial  ",190,
Potencial Produtivo com ciclo precoce ,191,
"Potencial Produtivo, com boa performance nos ambientes de alto investimento ",192,
Precocidade ,193,
"Produtivo, com boa estabilidade e adaptabilidade destacando ambientes de médio-baixo potencial ",194,
Pulgão,195,
Qualidade de colmo ,196,
Qualidade de Colmo e grãos ,197,
Qualidade de colmo e raiz ,198,
Qualidade de colmo e sanidade de grãos para Diplodia ,199,
Qualidade de grão ,200,
Qualidade de grãos ,201,
Qualidade de grãos e colmo ,202,
Qualidade de raiz ,203,
Recomendações Técnicas,204,
Recomendações_CP_Gerais,205,
Responsivo a manejo ,206,
Risco de acamamento (raiz),207,
Risco de acamamento (raiz) e grão ardido ,208,
Risco de Acamamento (raiz) e quebramento ,209,
Risco de grãos ardidos ,210,
Risco de quebramento de colmo ,211,
Risco Intermediáriode quebramento ,212,
Sanidade de colmo,213,
Sanidade de colmo e grãos,214,
Sanidade de colmo e raiz ,215,
Sanidade de foliar ,216,
Sanidade de foliar e de grãos,217,
Sanidade de grãos,218,
Sanidade de grãos e folha ,219,
Sanidade de planta ,220,
Sanidade foliar  ,221,
Sanidade foliar (atenção para turcicum e mancha branca) ,222,
Sanidade Foliar (exceto Turcicum) ,223,
Sanidade foliar (HT) ,224,
Sanidade foliar com ciclo (precocidade) ,225,
Sanidade foliar e de grãos,226,
"Sanidade foliar, colmo e grãos ",227,
Staygreen,228,
Superprecoce ,229,
Superprecoce com elevado potencial produtivo em ambientes de alto potencial ,230,
Superprecoce rápido ,231,
Superprecocidade ,232,
Suscetibilidade a Bipolaris maydis ,233,
Suscetibilidade moderada a complexo de enfezamento ,234,
Suscetibilidade moderada ao complexo de  enfezamento,235,
Suscetibilidade moderada para Turcicum ,236,
Suscetível a Corn Stunt ,237,
Tecnologia Leptra,238,
Tecnologia PRO4,239,
Tolerancia a cercospora,240,
Tolerancia a cercospora e mancha branca  ,241,
Tolerancia a cercospora e moderada para mancha branca ,242,
Tolerancia a HT,243,
Tolerancia a mancha branca,244,
Tolerancia a Mancha Branca ,245,
Tolerancia a mancha-branca e cercospora ,246,
Tolerancia ao Complexo de enfezamento,247,
Tolerancia HT ,248,
Tolerancia moderada a complexo de enfezamento,249,
Tolerancia moderada a mancha-branca ,250,
Tolerancia moderada ao complexo de enfezamento ,251,
Tolerancia moderada para complexo de enfezamento,252,
Tolerante a estria Bacteriana ,253,
Tolerante a mancha branca ,254,
Uniformidade de espigas ,255,
Uniformidade de plantas e espiga,256,
Virose transmitida por Pulgão ,257,
